Map,Case,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,MinNormDistance,MinFDistance
Map 6,testing_points,8.00000e+01,-2.00000e+01,1.67379e+03,2.78185e+01,1.74258e+01,1.08068e+01,1.33829e+01,1.08233e+01,7.56163e+00,0.00000e+00,7.56163e+00,0.00000e+00
Map 6,testing_points,1.00000e+02,-2.00000e+01,1.59304e+03,4.11735e+01,3.54722e+01,1.02854e+01,1.31826e+01,1.08233e+01,6.34566e+00,0.00000e+00,6.34566e+00,0.00000e+00
Map 6,testing_points,1.20000e+02,-1.00000e+01,1.77735e+03,4.99298e+01,4.57027e+01,1.14755e+01,1.15364e+01,1.08233e+01,4.72497e+00,0.00000e+00,4.72497e+00,0.00000e+00
Map 6,testing_points,1.50000e+02,1.00000e+01,2.91331e+03,6.37907e+01,5.58747e+01,1.88098e+01,2.08598e+01,1.08233e+01,6.41733e+00,0.00000e+00,6.41733e+00,0.00000e+00
Map 6,testing_points,1.50000e+02,5.50000e+01,5.48052e+03,7.50680e+01,5.80339e+01,3.53850e+01,2.91706e+01,1.08233e+01,6.86316e+00,0.00000e+00,6.86316e+00,0.00000e+00
Map 6,testing_points,1.20000e+02,5.50000e+01,4.69988e+03,6.10275e+01,4.83308e+01,3.03448e+01,1.81061e+01,1.08233e+01,4.76484e+00,0.00000e+00,4.76484e+00,0.00000e+00
Map 6,testing_points,8.00000e+01,5.50000e+01,2.80801e+03,8.08730e+01,7.17550e+01,1.81299e+01,2.98197e+01,1.08233e+01,7.52331e+00,0.00000e+00,7.52331e+00,0.00000e+00
Map 6,testing_points,1.10000e+02,2.00000e+01,3.05636e+03,4.25337e+01,3.53966e+01,1.97334e+01,6.57588e+00,1.08233e+01,2.52960e+00,6.66667e-02,2.52960e+00,5.00000e+00
Map 6,testing_points,1.10000e+02,2.50000e+01,3.24251e+03,4.39940e+01,3.63646e+01,2.09353e+01,7.17241e+00,1.08233e+01,2.49270e+00,6.66667e-02,2.49270e+00,5.00000e+00
Map 6,testing_points,1.20000e+02,2.00000e+01,3.15860e+03,4.70081e+01,4.00601e+01,2.03935e+01,8.01477e+00,1.08233e+01,2.77034e+00,6.66667e-02,2.77034e+00,5.00000e+00
Map 6,testing_points,1.20000e+02,3.00000e+01,3.59288e+03,4.92775e+01,4.10969e+01,2.31974e+01,8.74414e+00,1.08233e+01,2.75502e+00,6.66667e-02,2.75502e+00,5.00000e+00
Map 6,testing_points,8.00000e+01,1.50000e+01,2.18833e+03,4.54005e+01,3.96490e+01,1.41289e+01,1.23059e+01,1.08233e+01,4.57780e+00,6.66667e-02,4.57780e+00,5.00000e+00
Map 6,testing_points,1.50000e+02,3.00000e+01,4.07230e+03,6.41244e+01,5.50142e+01,2.62928e+01,1.60456e+01,1.08233e+01,4.41120e+00,6.66667e-02,4.41120e+00,5.00000e+00
Map 6,testing_points,1.20000e+02,2.50000e+01,3.37617e+03,4.79888e+01,4.04166e+01,2.17982e+01,8.34675e+00,1.08233e+01,2.72975e+00,1.33333e-01,2.72975e+00,1.00000e+01
Map 6,ARI_points,1.30000e+02,4.50000e+01,4.45993e+03,5.80393e+01,4.78899e+01,2.87956e+01,1.09080e+01,1.08233e+01,3.13128e+00,0.00000e+00,3.13128e+00,0.00000e+00
Map 6,ARI_points,1.10000e+02,4.50000e+01,3.99668e+03,5.26376e+01,4.32711e+01,2.58046e+01,1.03021e+01,1.08233e+01,3.02898e+00,0.00000e+00,3.02898e+00,0.00000e+00
Map 6,ARI_points,1.00000e+02,4.50000e+01,3.66724e+03,5.31049e+01,4.49967e+01,2.36776e+01,1.03762e+01,1.08233e+01,3.16029e+00,0.00000e+00,3.16029e+00,0.00000e+00
Map 6,ARI_points,1.10000e+02,3.00000e+01,3.42858e+03,4.58007e+01,3.76841e+01,2.21366e+01,7.98286e+00,1.08233e+01,2.59228e+00,0.00000e+00,2.59228e+00,0.00000e+00
Map 6,ARI_points,9.00000e+01,5.00000e+00,2.30782e+03,3.32822e+01,2.64189e+01,1.49004e+01,7.70632e+00,1.08233e+01,3.34485e+00,0.00000e+00,3.34485e+00,0.00000e+00
Map 6,ARI_points,8.00000e+01,4.50000e+01,2.62302e+03,6.95665e+01,6.38453e+01,1.69355e+01,1.82937e+01,1.08233e+01,4.96566e+00,0.00000e+00,4.96566e+00,0.00000e+00
Map 6,ARI_points,9.00000e+01,3.50000e+01,2.98047e+03,5.08967e+01,4.46367e+01,1.92434e+01,1.00044e+01,1.08233e+01,3.23905e+00,0.00000e+00,3.23905e+00,0.00000e+00
Map 6,ARI_points,1.20000e+02,4.50000e+01,4.24825e+03,5.46918e+01,4.47842e+01,2.74289e+01,1.03560e+01,1.08233e+01,2.97275e+00,0.00000e+00,2.97275e+00,0.00000e+00
